,Datetime,Text
0,2022-02-01 21:00:01+00:00,"So today we started to upload on our YouTube channel so if you enjoy pokemon tcg then definitely check it out 👍 https://t.co/J3WLmOJ4Wy 
#Pokemon #PokemonTCG #pokemonCards #pokemoncelebrations #Celebrations #tcg #TCGCardSearch #shiny #Packs @PokemonTCG @Pokemon @PokemonTCGUK"
1,2022-02-01 18:55:53+00:00,"Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Add to Cart button

🛒: https://t.co/R5Aq7JJKXB

01:55:22.3620 PM EST #Ad

https://t.co/R6TlK16s2B"
2,2022-02-01 18:55:53+00:00,"Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Add to Cart button

🛒: https://t.co/xx51lM82u0

01:55:22.3620 PM EST #Ad

https://t.co/HDKLCZsz8d"
3,2022-02-01 18:41:57+00:00,"[$8.99]
Pokémon - Pokemon TCG: Celebrations Mini Tins
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/Ow6ZFaVDka

01:41:27.0630 PM EST #Ad

https://t.co/fZirVzqEiN"
4,2022-02-01 18:41:57+00:00,"[$8.99]
Pokémon - Pokemon TCG: Celebrations Mini Tins
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/XZkc7XSwnT

01:41:27.0630 PM EST #Ad

https://t.co/wW9FUeom7O"
5,2022-02-01 14:54:31+00:00,"Pokemon TCG: Celebrations Collections Box - $19.99

https://t.co/fXsCt5CTCm

#Pokemon #PokemonTCG #PokemonCardGame #Pokemon25 #PokemonCelebrations https://t.co/bPRHJLrG2N"
6,2022-02-01 13:41:11+00:00,"Have dropped lengthy Pokémon Celebrations opening vid on YouTube already and another coming quick smart. Check ‘em out if you’re keen to see the set get filled up organically. https://t.co/ldKkaeto4r
#pokemontradingcardgame #pokemoncelebrations #pokemon25thanniversary #pokemontcg"
7,2022-02-01 10:44:24+00:00,Upsi ya ha llegado #pokemontcg #pokemoncelebrations https://t.co/DQWSGM5v2s
8,2022-02-01 10:00:01+00:00,"This or That! Which golden mew do you prefer? 
♻️ Retweet for Team English
❤️ Like for Team Japanese 

#PokemonTCG #pokemon #GoldenMew #Mew #PokemonCelebrations https://t.co/xLdjNaZk0e"
9,2022-02-01 04:55:03+00:00,Just had to wait for the hype to die down. 🤣 #pokemoncelebrations #photoaday #day3310 https://t.co/3GPsZSoE8k
10,2022-01-31 21:33:31+00:00,"A new video is here! We grabbed some #Pokemon Repacks at a local card show and we’re opening them up to find out if they’re worth it or not! You have to watch to get the answer!
#PokemonCelebrations #MysteryPack #PokeTube #YouTube

https://t.co/qVDy1Qacer"
11,2022-01-31 21:24:02+00:00,"Celebration has begun!!

#Pokémontcg #pokemoncelebrations #pokemon https://t.co/HKGXwgtBkv"
12,2022-01-31 18:02:20+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/5lewp5Z4pU

01:01:48.7590 PM EST #Ad

https://t.co/UAR59rU4NR"
13,2022-01-31 18:02:20+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/ict7NfqETL

01:01:48.7590 PM EST #Ad

https://t.co/QQlXeyjfcY"
14,2022-01-31 14:20:59+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/5lewp5Z4pU

09:20:28.2120 AM EST #Ad

https://t.co/UAR59rU4NR"
15,2022-01-31 14:20:59+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/ict7NfqETL

09:20:28.2120 AM EST #Ad

https://t.co/QQlXeyjfcY"
16,2022-01-31 13:31:25+00:00,Picked up a #celebrations Pikachu box yesterday from the local toy store and found these ✨👾👾👾✨ forgot how much I love #mew #pokemon #letsgo #pokemoncelebrations https://t.co/e5fdrzBZXT
17,2022-01-31 04:32:06+00:00,Check out Pokemon Pikachu Holiday 20 oz. Silver Buffalo Travel Tumbler with Straw-New VHTF https://t.co/KIC33Xygk4 @eBay #Pokemon #Pikachu #PokemonTumbler #SilverBuffaloTumbler #PokemonPikachuChristmasTumbler  #PokemonCelebrations #PokemonTCG  #Pokemon25thAnniversary https://t.co/zLUdKFIvjx
18,2022-01-31 01:58:15+00:00,This is nuts… both times my brother said “can we get the Golden Mew” and then proceeded to pull it. Wow #goldenmew #pokemontcg #Pokemon #pokemoncelebrations https://t.co/8eGhMMybIB
19,2022-01-30 22:46:29+00:00,Huge restock and $29.99 each!!!! #pokemon #pokemoncelebrations #rgtxkent https://t.co/M1tqGRyN7F
20,2022-01-30 18:30:13+00:00,"I loved these McDonald’s card that came out. Hopefully I can get closer to finishing off this collection too. 🤞🏼

#pokemon #PokemonTCG #PokemonTradingCardGame #PokemonCelebrations https://t.co/1HCwIGTg0m"
21,2022-01-30 16:13:48+00:00,"Happy Sunday! I have a Pokemon Celebrations giveaway live on my instagram, if you're interested come on over and enter! 
https://t.co/5g1gcP9eoL
#pokemoncommunity #pokemoncards #pokemoncelebrations #GiveawayAlert #pokemongiveaway #freepokemoncards #pokemoncontest #tcggiveaway https://t.co/fcFpIdKLCR"
22,2022-01-30 02:05:58+00:00,"I got 3 pretty cool cards today and the Luxray is new to the collection. 👀

#pokemon #PokemonCelebrations #PokemonTCG #PokemonTradingCardGame https://t.co/MS4pK2MVdU"
