num;Datetime;hashtags
0;2022-02-08 23:57:45+00:00;['pokemontcg', 'pokemoncelebrations', 'luxuryball', 'pokeball']
1;2022-02-08 18:39:34+00:00;['pokemonCards', 'pokemoncelebrations', 'pokemon', 'PokemonTCG']
2;2022-02-08 06:11:32+00:00;['pokemon', 'pokemoncelebrations']
3;2022-02-08 03:33:59+00:00;['mew', 'PokemonCelebrations', 'Pikachu', 'pokefam']
4;2022-02-08 03:22:25+00:00;['Pokemon', 'pokemonCelebrations', 'Charizard']
5;2022-02-07 23:15:20+00:00;['Pokemon', 'Passiontradingcards', 'PokemonCelebrations', 'pokemon25th', 'FirePull', 'Pikachu', 'Mcdonalds']
6;2022-02-07 23:13:45+00:00;['pokemoncelebrations', 'Pokemontcg', 'pokémontcg']
7;2022-02-07 17:42:14+00:00;['Pokemon', 'PokemonTCG', 'pokemoncelebrations', 'pokemonevolvingskies']
8;2022-02-07 16:01:43+00:00;['Pokemon', 'pokemontcg', 'pokemoncelebrations']
9;2022-02-07 14:16:13+00:00;['pokemon', 'pokemoncelebrations']
10;2022-02-07 13:33:21+00:00;['PokemonCelebrations']
11;2022-02-07 00:59:40+00:00;['Pokemon', 'PokemonCelebrations']
12;2022-02-06 22:27:29+00:00;['Charizard', 'Pokemon', 'PokemonCelebrations']
13;2022-02-06 09:53:45+00:00;['pokemontcg', 'pokemoncelebrations', 'pokemon25th', 'TradingCardGame']
14;2022-02-06 04:51:34+00:00;['Pokemon', 'PokemonCelebrations', 'PokemonLEGENDS', 'PokemonLegendsArceus']
15;2022-02-05 02:49:26+00:00;['Pokemon', 'PokemonCelebrations']
16;2022-02-05 01:21:54+00:00;['PokemonCelebrations', 'pokemon', 'PokemonTCG', 'PokemonTradingCardGame']
17;2022-02-05 00:47:20+00:00;['Pokemon', 'Pikachu', 'PokemonTumbler', 'SilverBuffaloTumbler', 'PokemonPikachuChristmasTumbler', 'PokemonCelebrations', 'PokemonTCG', 'Pokemon25thAnniversary']
18;2022-02-05 00:32:31+00:00;['twitch', 'pokemon', 'pokemoncards', 'pokemontcg', 'pokemonpulls', 'pokemoncelebrations', 'upc', 'ultrapremiumcollection', 'goddessstory', 'myheroacademia', 'anime']
19;2022-02-04 02:43:15+00:00;['PokemonCelebrations']
20;2022-02-04 00:47:59+00:00;['pokemon', 'PokemonTCG', 'pokémoncelebrations']
21;2022-02-03 21:14:12+00:00;['pokemon', 'pokémon', 'PokemonCelebrations', 'PokemonCollector', 'pikachu']
22;2022-02-03 20:19:36+00:00;['PokemonCelebrations', 'PokemonTCG']
23;2022-02-03 18:34:48+00:00;['Pokemon', 'PokemonCelebrations', 'Giveaway']
24;2022-02-03 18:04:34+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
25;2022-02-03 18:04:34+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
26;2022-02-03 15:55:24+00:00;['Pokemon', 'PokemonTCG', 'PokemonCelebrations', 'Pokemon25']
27;2022-02-03 15:54:07+00:00;['Pokemon', 'PokemonTCG', 'PokemonCardGame', 'PokemonCelebrations', 'Pokemon25']
28;2022-02-03 10:49:32+00:00;['Pokemon', 'pokemontcg', 'pokemoncelebrations', 'tradingcardgame', 'onesettoruleemall']
29;2022-02-03 02:10:29+00:00;['Pokemon', 'Pokemon25', 'PokemonSwordShield', 'Nintendo', 'PokemonCelebrations']
30;2022-02-03 02:10:18+00:00;['Pokemon', 'Pokemon25', 'PokemonSwordShield', 'Nintendo', 'PokemonCelebrations']
31;2022-02-02 20:04:47+00:00;['PokemonTCG', 'Pokemon25', 'PokemonCelebrations']
32;2022-02-02 19:51:08+00:00;['PokemonCelebrations', 'pokemon', 'pokemoncards', 'pokemontcg']
33;2022-02-02 18:31:46+00:00;['pokemon', 'pikachu', 'PokemonCelebrations']
34;2022-02-02 17:09:23+00:00;['PokemonCelebrations', 'pokemonCards']
35;2022-02-02 12:35:45+00:00;['PokémonCelebrations']
36;2022-02-02 11:45:05+00:00;['PokemonTCG', 'PokemonCelebrations', 'UltraPremiumCollection']
37;2022-02-02 08:25:13+00:00;['Pokemon', 'PokemonCelebrations', 'PokemonTCG', 'TCG', 'TCGCardSearch', 'Celebrations', 'Pokemon25']
38;2022-02-02 03:07:47+00:00;['pokemoncelebrations', 'pokemon', 'pokemontcg', 'trainon', 'pokémon', 'pokémontcg', 'Garchomp']
39;2022-02-02 02:58:05+00:00;['pokemoncelebrations', 'photoaday', 'day3311']
40;2022-02-01 21:00:01+00:00;['Pokemon', 'PokemonTCG', 'pokemonCards', 'pokemoncelebrations', 'Celebrations', 'tcg', 'TCGCardSearch', 'shiny', 'Packs']
41;2022-02-01 18:55:53+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
42;2022-02-01 18:55:53+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
43;2022-02-01 18:41:57+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
44;2022-02-01 18:41:57+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
45;2022-02-01 14:54:31+00:00;['Pokemon', 'PokemonTCG', 'PokemonCardGame', 'Pokemon25', 'PokemonCelebrations']
46;2022-02-01 13:41:11+00:00;['pokemontradingcardgame', 'pokemoncelebrations', 'pokemon25thanniversary', 'pokemontcg']
47;2022-02-01 10:44:24+00:00;['pokemontcg', 'pokemoncelebrations']
48;2022-02-01 10:00:01+00:00;['PokemonTCG', 'pokemon', 'GoldenMew', 'Mew', 'PokemonCelebrations']
49;2022-02-01 04:55:03+00:00;['pokemoncelebrations', 'photoaday', 'day3310']
50;2022-01-31 21:33:31+00:00;['Pokemon', 'PokemonCelebrations', 'MysteryPack', 'PokeTube', 'YouTube']
51;2022-01-31 21:24:02+00:00;['Pokémontcg', 'pokemoncelebrations', 'pokemon']
52;2022-01-31 18:02:20+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
53;2022-01-31 18:02:20+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
54;2022-01-31 14:20:59+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
55;2022-01-31 14:20:59+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
56;2022-01-31 13:31:25+00:00;['celebrations', 'mew', 'pokemon', 'letsgo', 'pokemoncelebrations']
57;2022-01-31 04:32:06+00:00;['Pokemon', 'Pikachu', 'PokemonTumbler', 'SilverBuffaloTumbler', 'PokemonPikachuChristmasTumbler', 'PokemonCelebrations', 'PokemonTCG', 'Pokemon25thAnniversary']
58;2022-01-31 01:58:15+00:00;['goldenmew', 'pokemontcg', 'Pokemon', 'pokemoncelebrations']
59;2022-01-30 22:46:29+00:00;['pokemon', 'pokemoncelebrations', 'rgtxkent']
60;2022-01-30 18:30:13+00:00;['pokemon', 'PokemonTCG', 'PokemonTradingCardGame', 'PokemonCelebrations']
61;2022-01-30 16:13:48+00:00;['pokemoncommunity', 'pokemoncards', 'pokemoncelebrations', 'GiveawayAlert', 'pokemongiveaway', 'freepokemoncards', 'pokemoncontest', 'tcggiveaway']
62;2022-01-30 02:05:58+00:00;['pokemon', 'PokemonCelebrations', 'PokemonTCG', 'PokemonTradingCardGame']
